fromGeneId	fromSymbol	toGeneId	toSymbol	best	bestReverse	methodCount	totalMethodCount
HGNC:5	A1BG	RGD:69417	A1bg	Yes	Yes	10	10
HGNC:24086	A1CF	RGD:619834	A1cf	Yes	Yes	10	10
HGNC:7	A2M	RGD:2004	A2m	Yes	Yes	10	10
HGNC:23336	A2ML1	RGD:1565709	A2ml1	Yes	No	1	10
HGNC:30005	A3GALT2	RGD:727913	A3galt2	Yes	Yes	10	10
HGNC:18149	A4GALT	RGD:621583	A4galt	Yes	Yes	10	10
HGNC:17968	A4GNT	RGD:1590210	A4gnt	Yes	Yes	10	10
HGNC:13666	AAAS	RGD:1308701	Aaas	Yes	Yes	10	10
HGNC:21298	AACS	RGD:708522	Aacs	Yes	Yes	10	10
HGNC:17	AADAC	RGD:631440	Aadac	Yes	Yes	10	10
HGNC:24427	AADACL2	RGD:1563197	Aadacl2	Yes	Yes	10	10
HGNC:32037	AADACL3	RGD:1563257	Aadacl3	Yes	Yes	10	10
HGNC:32038	AADACL4	RGD:1565761	Aadacl4	No	Yes	7	10
HGNC:32038	AADACL4	RGD:1587396	LOC691196	Yes	Yes	8	10
HGNC:32038	AADACL4	RGD:1308878	RGD1308878	No	Yes	5	10
HGNC:32038	AADACL4	RGD:1559644	RGD1559644	Yes	Yes	8	10
HGNC:32038	AADACL4	RGD:1563334	RGD1563334	No	Yes	3	10
HGNC:17929	AADAT	RGD:2948	Aadat	Yes	Yes	10	10
HGNC:25662	AAGAB	RGD:621601	Aagab	Yes	Yes	10	10
HGNC:19679	AAK1	RGD:1305520	Aak1	Yes	Yes	9	10
HGNC:30205	AAMDC	RGD:1561459	Aamdc	Yes	Yes	9	10
HGNC:18	AAMP	RGD:1306281	Aamp	Yes	Yes	10	10
HGNC:19	AANAT	RGD:2006	Aanat	Yes	Yes	10	10
HGNC:15886	AAR2	RGD:1311066	Aar2	Yes	Yes	10	10
HGNC:33842	AARD	RGD:631378	Aard	Yes	Yes	10	10
HGNC:20	AARS1	RGD:1304832	Aars1	Yes	Yes	10	10
HGNC:21022	AARS2	RGD:1310617	Aars2	Yes	Yes	10	10
HGNC:28417	AARSD1	RGD:1561650	Aarsd1	Yes	Yes	10	10
HGNC:23993	AASDH	RGD:1311135	Aasdh	Yes	Yes	10	10
HGNC:14235	AASDHPPT	RGD:1311360	Aasdhppt	Yes	Yes	10	10
HGNC:17366	AASS	RGD:1310811	Aass	Yes	Yes	10	10
HGNC:19235	AATF	RGD:620685	Aatf	Yes	Yes	10	10
HGNC:21	AATK	RGD:1590980	Aatk	Yes	Yes	10	10
HGNC:23	ABAT	RGD:620948	Abat	Yes	Yes	10	10
HGNC:29	ABCA1	RGD:631344	Abca1	Yes	Yes	10	10
HGNC:14637	ABCA12	RGD:1304586	Abca12	Yes	Yes	10	10
HGNC:14638	ABCA13	RGD:1305895	Abca13	Yes	Yes	10	10
HGNC:34405	ABCA15P	RGD:1305981	Abca15	Yes	Yes	2	10
HGNC:32	ABCA2	RGD:620238	Abca2	Yes	Yes	10	10
HGNC:33	ABCA3	RGD:1307174	Abca3	Yes	Yes	10	10
HGNC:34	ABCA4	RGD:1309445	Abca4	Yes	Yes	10	10
HGNC:35	ABCA5	RGD:628661	Abca5	Yes	Yes	10	10
HGNC:36	ABCA6	RGD:1308998	Abca6	Yes	Yes	10	10
HGNC:37	ABCA7	RGD:1303134	Abca7	Yes	Yes	10	10
HGNC:38	ABCA8	RGD:1307069	Abca8	Yes	Yes	10	10
HGNC:39	ABCA9	RGD:1305931	Abca9	Yes	Yes	10	10
HGNC:40	ABCB1	RGD:619951	Abcb1a	No	Yes	1	10
HGNC:40	ABCB1	RGD:3318	Abcb1b	Yes	Yes	7	10
HGNC:41	ABCB10	RGD:1311222	Abcb10	Yes	Yes	10	10
HGNC:42	ABCB11	RGD:619930	Abcb11	Yes	Yes	10	10
HGNC:45	ABCB4	RGD:620248	Abcb4	Yes	Yes	10	10
HGNC:46	ABCB5	RGD:1566342	Abcb5	Yes	Yes	10	10
HGNC:47	ABCB6	RGD:71077	Abcb6	Yes	Yes	10	10
HGNC:48	ABCB7	RGD:1303086	Abcb7	Yes	Yes	10	10
HGNC:49	ABCB8	RGD:1307655	Abcb8	Yes	Yes	10	10
HGNC:50	ABCB9	RGD:620254	Abcb9	Yes	Yes	10	10
